"id","airport_ref","airport_ident","length_ft","width_ft","surface","lighted","closed","le_ident","le_latitude_deg","le_longitude_deg","le_elevation_ft","le_heading_degT","le_displaced_threshold_ft","he_ident","he_latitude_deg","he_longitude_deg","he_elevation_ft","he_heading_degT","he_displaced_threshold_ft"
236982,4350,"LIMZ",6903,148,"ASP",1,0,"03",44.53960037231445,7.616189956665039,1267,32,,"21",44.555599212646484,7.6304497718811035,1217,212,
319116,319115,"LINF",1804,82,"G",0,0,"06",,,,,,"24",,,,,
335641,29433,"LINL",2014,98,"paved",0,0,"18",,,51,,,"36",,,60,,
253061,29443,"LIPA",8551,144,"ASP",0,0,"05",46.02330017089844,12.583900451660156,321,48,,"23",46.03889846801758,12.60890007019043,410,228,
237009,4352,"LIPB",4698,148,"ASP",1,0,"01",46.451515,11.324127,771,10,,"19",46.465027,11.327637,788,190,200
237010,4352,"LIPB",2290,66,"GRS",0,0,"01R",46.4546012878418,11.326499938964844,773,10.6,,"19L",46.46080017089844,11.328200340270996,782,190.6,
237035,4353,"LIPC",10007,148,"ASP",1,0,"11",44.23040008544922,12.29010009765625,18,116,389,"29",44.21820068359375,12.324299812316895,10,296,377
345495,29434,"LIPD",2395,131,"grass",0,0,"04",,,269,,,"22",,,285,,
237036,4354,"LIPE",9196,148,"ASP",1,0,"12",44.541099548339844,11.272899627685547,120,117,1007,"30",44.52980041503906,11.304400444030762,120,297,1188
312667,29436,"LIPG",2296,,"grass",0,1,"04",,,,,,"22",,,,,
510299,29436,"LIPG",4101,98,"GRS",0,0,"09",45.907,13.5922,,85,,"27",45.908,13.6052,,265,
237008,4355,"LIPH",7941,144,"ASP",1,0,"07",45.644500732421875,12.179900169372559,56,69,254,"25",45.65230178833008,12.208999633789062,51,249,389
237014,4356,"LIPI",8365,144,"ASP",1,0,"06",45.9734992980957,13.035099983215332,163,59,,"24",45.98529815673828,13.063300132751465,179,239,
237025,4357,"LIPK",7907,148,"ASP",1,0,"12",44.199798583984375,12.056699752807617,97,117,,"30",44.189701080322266,12.083399772644043,91,297,
237003,4358,"LIPL",9813,148,"ASP",1,0,"13",45.44160079956055,10.254199981689453,330,135,812,"31",45.422698974609375,10.281100273132324,312,315,812
345132,29437,"LIPM",2625,66,"paved",0,0,"11",,,,,,"29",,,,,
236998,4359,"LIPN",3327,72,"ASP",0,0,"08",45.47079849243164,10.921699523925781,286,74.7,,"26",45.473201751708984,10.934200286865234,271,254.7,
237064,4360,"LIPO",9810,148,"ASP",1,0,"14",45.4380989074707,10.317700386047363,353,135,984,"32",45.41910171508789,10.344799995422363,333,315,640
237059,4361,"LIPQ",9843,148,"ASP",1,0,"09",45.827999114990234,13.447400093078613,37,90,656,"27",45.82780075073242,13.486000061035156,36,270,
236997,4362,"LIPR",9828,148,"ASP",1,0,"13",44.0285,12.597,21,128,1030,"31",44.012001,12.6265,39,308,1006
236992,4363,"LIPS",9816,105,"ASP",1,0,"08",45.68259811401367,12.06820011138916,136,82,956,"26",45.68629837036133,12.106200218200684,137,262,953
237037,4365,"LIPU",3681,98,"ASP",1,0,"04",45.39250183105469,11.843700408935547,44,40,203,"22",45.40019989013672,11.852800369262695,42,220,735
323480,29438,"LIPV",3261,148,"GRASS",0,0,"05",45.42630386352539,12.383955955505371,13,,,"23",45.431575775146484,12.394216537475586,13,,
236994,4366,"LIPX",10064,148,"ASP",1,0,"04",45.387298583984375,10.876299858093262,220,46,189,"22",45.40660095214844,10.904500007629395,238,226,1345
237002,4367,"LIPY",9718,148,"ASP",1,0,"04",43.60689926147461,13.34939956665039,47,45,641,"22",43.62580108642578,13.375300407409668,29,225,492
237024,4368,"LIPZ",9121,148,"ASP",1,0,"04L",45.495201110839844,12.335599899291992,7,42,308,"22R",45.51369857788086,12.359399795532227,7,222,
237023,4368,"LIPZ",10827,148,"ASP",1,0,"04R",45.49409866333008,12.337699890136719,7,42,,"22L",45.51620101928711,12.366000175476074,7,222,
335277,29439,"LIQB",2165,75,"ASP",0,0,"12",43.45668411254883,11.843761444091797,814,,,"30",43.45374298095703,11.850908279418945,814,,
318505,316455,"LIQG",3410,115,"Grass",0,0,"15",43.28980255126953,10.515498161315918,46,150,,"33",43.28194808959961,10.522374153137207,46,,
260105,29440,"LIQL",2986,59,"ASP",0,0,"10",,,39,,,"28",,,35,,
237041,4369,"LIQS",4570,98,"ASP",1,0,"18",43.261199951171875,11.254799842834473,634,178,,"36",43.24869918823242,11.25529956817627,604,358,
337576,29441,"LIQW",2969,75,"ASP",0,0,"18",,,37,,,"36",,,15,,
236988,4370,"LIRA",7226,147,"ASP",1,0,"15",41.808101654052734,12.588800430297852,341,152,,"33",41.790401458740234,12.60099983215332,427,332,
237012,4371,"LIRE",8335,148,"ASP",1,1,"13",41.66109848022461,12.43280029296875,40,130.1,530,"31",41.646400451660156,12.456199645996094,38,310.1,
237013,4371,"LIRE",8138,98,"ASP",1,0,"13R",41.66239929199219,12.434499740600586,,129.9,430,"31L",41.648101806640625,12.457300186157227,,309.9,430
236972,4372,"LIRF",10849,147,"ASP",1,0,"07",41.79930114746094,12.232099533081055,7,70,1365,"25",41.809600830078125,12.269499778747559,5,250,
260377,4372,"LIRF",11818,148,"ASP",1,1,"16C",,,11,163,,"34C",,,4,343,
236974,4372,"LIRF",12801,196,"ASP",1,0,"16L",41.84600067138672,12.261500358581543,14,163,,"34R",41.812400817871094,12.275500297546387,6,343,
236973,4372,"LIRF",12801,196,"ASP",1,0,"16R",41.81549835205078,12.226400375366211,7,163,,"34L",41.78200149536133,12.240400314331055,8,343,1053
237050,4373,"LIRG",3937,197,"GRS",0,0,"04",41.986698150634766,12.732199668884277,288,34.9,,"22",41.99549865722656,12.740500450134277,256,214.9,
237051,4373,"LIRG",4797,98,"ASP",0,0,"18",41.99689865112305,12.741000175476074,289,181,,"36",41.983699798583984,12.740699768066406,243,1,
260104,29442,"LIRH",4695,,"UNK",0,0,"16",,,630,,,"34",,,597,,
237069,4374,"LIRI",6437,148,"ASP",1,0,"05",40.614029,14.902475,,52,,"23",40.623138,14.917969,,232,
236996,4375,"LIRJ",3114,75,"ASP",0,0,"16",42.76599884033203,10.23740005493164,28,160,479,"34",42.757999420166016,10.241399765014648,11,340,285
237047,4376,"LIRL",5577,131,"ASP",1,0,"12",41.54679870605469,12.900699615478516,93,124.5,,"30",41.53810119628906,12.917400360107422,57,304.5,
237007,4377,"LIRM",9813,98,"ASP",1,0,"06",41.05419921875,14.066499710083008,18,59.9,318,"24",41.06769943237305,14.097299575805664,29,239.9,315
237034,4378,"LIRN",8622,148,"ASP",1,0,"06",40.879798889160156,14.27750015258789,284,58.1,1309,"24",40.89229965209961,14.303999900817871,223,238.1,624
237005,4379,"LIRP",9160,148,"ASP",1,0,"03L",43.673801,10.3807,2,37,979,"21R",43.694,10.4015,6,217,
237004,4379,"LIRP",9820,148,"ASP",1,0,"03R",43.6731,10.3832,3,37,490,"21L",43.694599,10.4055,6,217,843
236979,4380,"LIRQ",5118,148,"ASP",1,0,"05",43.80534,11.197815,123,48,492,"23",43.814697,11.21228,132,228,2287
237054,4381,"LIRS",9823,148,"ASP",1,0,"03",42.7494010925293,11.061200141906738,15,31,317,"21",42.772499084472656,11.079999923706055,15,211,
237055,4381,"LIRS",7723,82,"ASP",0,0,"03R",42.7505,11.066,17,31,,"21L",42.7687,11.0807,17,211,
237062,4382,"LIRU",3556,98,"ASP",0,0,"16",41.957000732421875,12.5,55,160,361,"34",41.94779968261719,12.504400253295898,54,340,820
237066,4383,"LIRV",4265,164,"ASPH",0,0,"04C",42.4314,12.0573,970,38,,"22C",42.440498,12.067,990,218,
237068,4383,"LIRV",3297,82,"ASP",0,0,"04L",42.43220138549805,12.056099891662598,969,38,,"22R",42.439300537109375,12.063699722290039,987,218,
237067,4383,"LIRV",1936,112,"ASP",0,0,"04R",42.43510055541992,12.062199592590332,977,39,,"22L",42.43920135498047,12.066699981689453,987,219,
576853,4384,"LIRZ",7215,148,"ASP",1,0,"01",43.0885124206543,12.510642051696777,667,14,328,"19",43.10768508911133,12.517327308654785,693,194,203
312195,308672,"LIVV",2073,72,"Grass",0,0,"18",,,770,180,,"36",,,770,360,
