icao,name,lat,lon,elev_ft
IT-0086,La_Comina_Airfield,45.991852,12.65399,200
IT-0004,Eremo_della_Giubiliana_Airfield,36.861287,14.627008,1401
IT-0082,Madonna_di_Loreto_Airfield,43.43913,13.57054,47
IT-0079,La_Speziana_Airfield,45.128536,9.362869,459
LIAA,"Aviosuperficie_""Alvaro_Leonardi""",42.573333,12.584444,374
LILC,Calcinate_del_Pesce_Airfield,45.8097,8.76806,797
IT-0154,Alituscia_Airfield,42.226894,12.119422,1270
LILG,Vergiate_Airfield,45.712633,8.700714,863
LILB,Alzate_Brianza_Airfield,45.769644,9.162333,1260
IT-0472,Leonardo_da_Vinci_Airfield,45.288333,8.8,358
IT-0323,Vallegaffaro_Airfield,44.834414,12.231261,1
LIBN,Lecce_Galatina_Air_Base_Galatina_Fortunato_Cesari_Airport,40.239201,18.133301,156
LIMN,Cameri_Air_Base_,45.529598,8.66922,586
LIPL,Ghedi_Air_Base,45.432551,10.268612,333
LIBG,Taranto_Grottaglie_Marcello_Arlotta_Airport,40.517502,17.4032,215
LICP,Palermo_Boccadifalco_Airport,38.110802,13.3133,345
LIRV,Viterbo_Airport,42.430199,12.0642,992
IT-0038,Aviosuperficie_Acqui_Terme,44.677488,8.50124,430
IT-0146,Cà_del_Conte_Airfield,44.870165,9.938164,
IT-0477,Campo_di_Volo_Delta_Club,41.716433,13.094704,659
IT-0247,Ali_sul_Castello_Airfield,41.063481,16.280887,984
LIAQ,Aquino_Airfield,41.491983,13.719342,361
IT-0569,Batfly_Airfield,41.343401,16.213181,6
IT-0246,AliVara_Airfield,44.227697,9.720077,311
IT-0502,Curtatone_Private_Airfield,45.112207,10.705383,72
IT-0010,Calatabiano_(Aviosuperficie_Angelo_D'Arrigo),37.799561,15.22775,197
LIDW,Luciano_Narder_Airfield,45.6992,12.5431,7
IT-0080,Mazarack_Flying_Field,45.639444,12.943611,
LIAT,Valdera_Airfield,43.592164,10.696294,39
IT-0503,Delta_Team_Lucca_Airfield,43.784226,10.603388,24
IT-0045,Cascina_Colombare_Airfield,45.49611,8.52527,558
IT-0530,Casalfiumanese_Airfield,44.28966,11.625632,
IT-0190,Baialupo_Airfield,45.5529,9.50567,489
IT-0709,Bolgheri_Airfield,43.209663,10.543751,10
IT-0191,L'Elika_Airfield,44.88293,7.56105,
IT-0089,Trasimeno_Airfield,43.136353,12.030371,858
IT-0248,Montecchio_Podere_Santa_Apollonia_Airfield,43.297074,11.906888,810
IT-0304,Base_Bravo_Airfield,45.392864,11.692645,45
IT-0258,Settecrociari_Airfield,44.13595,12.18976,147
IT-0067,Altiporto_Chamois,45.833793,7.618504,5600
LIAL,Sant'Illuminato_Airfield,43.354901,12.21807,984
IT-0211,Al_Casale_Airfield,45.984782,12.923537,148
IT-0462,Cogliate_Airfield,45.639743,9.065963,
IT-0090,Mensanello_Airfield,43.373582,11.123145,621
IT-0340,Delta_Club_Conselice_Airfield,44.541928,11.792177,9
